Cost_Category,2021_USD_k,2022_USD_k,2023_USD_k,2024_USD_k,2025_USD_k,CAGR_%
Raw Materials,42500,48200,52800,58500,65200,11.3%
Direct Labor,18500,19800,21200,22800,24500,7.3%
Manufacturing Overhead,12800,13500,14200,15100,16000,5.7%
Total COGS,73800,81500,88200,96400,105700,9.4%
Sales & Marketing,15200,16800,18500,20500,23000,10.9%
General & Admin,8500,9200,9800,10500,11200,7.1%
R&D,6200,7000,7800,8800,10000,12.7%
IT & Technology,3500,4200,4800,5500,6400,16.3%
Total OpEx,33400,37200,40900,45300,50600,10.9%
Depreciation,5200,5800,6200,6800,7500,9.6%
Interest Expense,2800,3000,3200,3500,3800,7.9%
Total Costs,115200,127500,138500,152000,167600,9.8%
